"기준_년분기_코드","서울시_코드","서울시_코드_명","서비스_업종_코드","서비스_업종_코드_명","전체_점포_수","일반_점포_수","프랜차이즈_점포_수","개업_율","개업_점포_수","폐업_률","폐업_점포_수"
"20261","11","서울시","CS300043","전자상거래업","17925","17914","11","0","12","7","1162"
"20261","11","서울시","CS300042","주유소","951","951","0","1","9","4","34"
"20261","11","서울시","CS300041","예술품","2377","2377","0","3","61","2","44"
"20261","11","서울시","CS300040","재생용품 판매점","1182","1182","0","0","0","1","14"
"20261","11","서울시","CS300039","모터사이클및부품","779","779","0","2","18","1","9"
"20261","11","서울시","CS300038","자동차부품","3441","3437","4","0","12","2","51"
"20261","11","서울시","CS300037","중고차판매","862","862","0","0","3","2","16"
"20261","11","서울시","CS300036","조명용품","10807","10799","8","0","24","1","139"
"20261","11","서울시","CS300035","인테리어","4290","4289","1","2","66","2","79"
"20261","11","서울시","CS300034","악기","781","781","0","1","9","1","10"
"20261","11","서울시","CS300033","철물점","2263","2263","0","3","65","2","34"
"20261","11","서울시","CS300032","가전제품","2457","2457","0","1","19","1","27"
"20261","11","서울시","CS300031","가구","3304","3301","3","1","25","1","37"
"20261","11","서울시","CS300030","중고가구","154","154","0","0","0","2","3"
"20261","11","서울시","CS300029","애완동물","2650","2477","173","5","134","4","100"
"20261","11","서울시","CS300028","화초","6150","6108","42","2","117","3","157"
"20261","11","서울시","CS300027","섬유제품","3221","3218","3","4","126","2","48"
"20261","11","서울시","CS300026","완구","1078","1076","2","4","43","2","24"
"20261","11","서울시","CS300025","자전거 및 기타운송장비","793","793","0","1","10","2","18"
"20261","11","서울시","CS300024","운동/경기용품","3871","3867","4","2","79","2","89"
"20261","11","서울시","CS300023","미용재료","1487","1487","0","3","45","2","23"
"20261","11","서울시","CS300022","화장품","13751","13015","736","2","209","3","360"
"20261","11","서울시","CS300021","문구","4451","4053","398","2","69","2","101"
"20261","11","서울시","CS300020","서적","4103","4020","83","2","60","2","83"
"20261","11","서울시","CS300019","의료기기","3727","3709","18","0","2","2","57"
"20261","11","서울시","CS300018","의약품","9220","8624","596","3","260","2","164"
